ID Sire Dam CG Ultra WT1 WT2 FI GAIN FCR RFI
183000017 Sire_178961057 Dam_178957148 183_1_178_V_F 32.19 1648 2196 907 548 1.655 30.07
183000025 Sire_178961057 Dam_178957103 183_1_178_V_F 35.64 1858 2440 1010 582 1.735 50
183000041 Sire_178955116 Dam_178961081 183_1_178_V_F 36.48 1822 2302 893 480 1.86 43.83
183000043 Sire_178955116 Dam_178961081 183_1_178_V_M 35.07 2078 2852 1158 774 1.496 -28.4
183000045 Sire_178955116 Dam_178957642 183_1_178_V_F 32.66 1610 2186 997 576 1.731 100.8
183000083 Sire_178960196 Dam_178956983 183_1_178_V_F 32.43 1624 2104 742 480 1.546 -61.04
183000115 Sire_178963632 Dam_178954273 183_1_178_V_F 31.91 1588 2274 948 686 1.382 -53.55
183000129 Sire_178962580 Dam_178955117 183_1_178_V_F 33.74 1742 2486 1060 744 1.425 -35.68
183000131 Sire_178962580 Dam_178955117 183_1_178_V_F 33.78 1668 2312 965 644 1.498 -13.01
183000135 Sire_178962580 Dam_178956680 183_1_178_V_F 30.5 1764 2396 939 632 1.486 -49.32
183000153 Sire_178962580 Dam_178957609 183_1_178_V_F 32.28 1574 2094 824 520 1.585 -7.57
183000163 Sire_178962580 Dam_178957990 183_1_178_V_F 34.16 1766 2160 731 394 1.855 -18.75
183000167 Sire_178953230 Dam_178953170 183_1_178_V_M 37.23 1952 2628 952 676 1.408 -110.4
183000179 Sire_178953230 Dam_178954900 183_1_178_V_M 35.07 1980 2966 1304 986 1.323 -78.81
183000207 Sire_178958917 Dam_178955074 183_1_178_V_F 36.21 1742 2400 989 658 1.503 -20.3
183000221 Sire_178958917 Dam_178956353 183_1_178_V_F 41.38 1696 2312 922 616 1.497 -34.41
183000223 Sire_178958917 Dam_178956353 183_1_178_V_F 37.87 1824 2482 1095 658 1.664 66.59
183000241 Sire_178958917 Dam_178962124 183_1_178_V_F 30.76 1784 2366 922 582 1.584 -20.76
183000255 Sire_178954992 Dam_178957602 183_1_178_V_F 35.42 1634 2198 952 564 1.688 62.26
183000257 Sire_178954992 Dam_178957602 183_1_178_V_F 35.01 1668 2404 1004 736 1.364 -66.41
183000261 Sire_178954992 Dam_178958120 183_1_178_V_F 39.72 1698 2410 953 712 1.338 -100.3
183000263 Sire_178954992 Dam_178958120 183_1_178_V_F 34.32 1638 2352 1087 714 1.522 45.68
183000269 Sire_178954992 Dam_178960203 183_1_178_V_F 29.55 1628 2248 981 620 1.582 36.42
183000281 Sire_178954085 Dam_178954025 183_1_178_V_F 30.58 1758 2432 913 674 1.355 -116.1
183000295 Sire_178954085 Dam_178966194 183_1_178_V_F 30.32 1642 2360 1038 718 1.446 -8.27
183000299 Sire_178959889 Dam_178953235 183_1_178_V_F 34.55 1760 2272 907 512 1.771 40.14
183000319 Sire_178964030 Dam_178953067 183_1_178_V_F 39.1 1784 2262 914 478 1.912 75.69
