Assay,Measure,Name,Phenotype mean,Phenotype sd,Phenotype males mean,Phenotype males sd,Phenotype females mean,Phenotype females sd,LogP for phenotype sex difference,Nb samples,Linear model,Category,Name,Heritability,Heritability standard error,Heritability p-value
Body weight measures,Body weight (g) at Startle PPI test (~17 weeks of age),Weight.Startle,40.2,6.28,44.1,5.23,36.5,4.7,171,1673,Weight.Startle~1 + Sex + (1|Batch),physiological,Weight.Startle,0.349,0.070,6.53E-09
,Body weight (g) at Hypoxia test (~18 weeks of age),Weight.Hypo,40.8,6.46,44.7,5.37,36.9,4.94,168,1704,Weight.Hypo~1 + Sex + (1|Batch),physiological,Weight.Hypo,0.339,0.070,1.64E-08
,Body weight (g) at Cardio test (~19 weeks of age),Weight.ECG,41.8,6.63,45.9,5.61,38,5,128,1323,Weight.ECG~1 + Sex + (1|Batch),physiological,Weight.ECG,0.315,0.086,1.84E-05
,Body weight (g) at dissection after overnight fast (~20 weeks of age),Weight.Diss,37.3,6.09,40.6,5.32,34,4.92,145,1903,Weight.Diss~1 + Sex + (1|Batch),physiological,Weight.Diss,0.373,0.062,2.79E-12
,"Mean of Weight.Startle, Weight.Hypo, Weight.ECG and Weight.Diss if at least 3 of the 4 measures are available (g)",Weight.Average,39.4,6.3,43.2,5.31,35.7,4.81,142,1482,Weight.Average~1 + Sex + (1|Batch),physiological,Weight.Average,0.414,0.079,2.71E-09
,Body Mass Index (= Weight.Diss / Diss.Body.Length^2),Weight.BMI.body,0.326,0.0404,0.342,0.038,0.309,0.0358,73.9,1873,Weight.BMI.body~1 + Sex + (1|Batch),physiological,Weight.BMI.body,0.315,0.063,5.20E-09
,Pseudo Body Mass Index (= Weight.Diss / Tibia.Length^2),Weight.BMI.tibia,0.104,0.0153,0.112,0.0134,0.0962,0.0126,128,1832,Weight.BMI.tibia~1 + Sex + (1|Batch),physiological,Weight.BMI.tibia,0.435,0.065,1.40E-14
"Anatomical measures (Adrenals, hind limb muscles and brain weight, body, tibia and tail length)",Mean weight of adrenal glands (g),Adrenals.Adrenals_g,0.00502,0.00253,0.00276,0.000727,0.00725,0.0015,Inf,1488,Adrenals.Adrenals_g~1 + Sex + (1|Batch) + Body.Weight,tissue,Adrenals.Adrenals_g,0.244,0.076,1.59E-04
,Weight of tibialis anterior (g),Muscles.TA.g,0.0608,0.00855,0.0668,0.0066,0.0549,0.00563,263,1828,Muscles.TA.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.TA.g,0.391,0.066,3.86E-12
,Weight of extensor digitorum longus (g),Muscles.EDL.g,0.0123,0.00194,0.0137,0.00156,0.011,0.00123,254,1833,Muscles.EDL.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.EDL.g,0.303,0.067,1.76E-07
,Weight of gastrocnemius (g),Muscles.Gast.g,0.143,0.0198,0.156,0.0161,0.131,0.0141,215,1832,Muscles.Gast.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.Gast.g,0.285,0.067,1.73E-06
,Weight of plantaris (g),Muscles.Plant.g,0.0176,0.00283,0.0195,0.00222,0.0156,0.00187,255,1832,Muscles.Plant.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.Plant.g,0.226,0.063,2.36E-05
,Weight of soleus (g),Muscles.Sol.g,0.00886,0.00148,0.00973,0.00131,0.00801,0.0011,163,1832,Muscles.Sol.g~1 + Sex + (1|Batch) + Tibia.Length,tissue,Muscles.Sol.g,0.331,0.066,8.31E-09
,Length of tibia (mm),Tibia.Length,18.9,0.45,19,0.43,18.8,0.43,80,1841,Tibia.Length~1 + Sex + (1|Batch) + Body.Weight,tissue,Tibia.Length,0.469,0.057,1.86E-11
,Weight of brain at dissection (g),Diss.Brain.Weight,0.456,0.0258,0.455,0.0259,0.457,0.0257,1.25,1863,Diss.Brain.Weight~1 + (1|Batch),tissue,Diss.Brain.Weight,0.323,0.066,2.62E-08
,Length of body at dissection (mm),Diss.Body.Length,10.7,0.464,10.9,0.407,10.5,0.425,88.5,1829,Diss.Body.Length~1 + Sex + (1|Batch) + Body.Weight + Diss.Experimenter.CardiacPuncture + Diss.Cull.Date.Day_of_Year,physiological,Diss.Body.Length,0.142,0.063,8.01E-03
