Phenotype ,Chr ,Position (Mb) ,-logP ,Additional phenotypes mapping at the same locus ,-logP of add. phenotyp es (range) ,Nb of gene s under QTL (95% CI) ,Candidate gene(s) under QTL ,Findings supporting candidate genes ,KO? ,
Neuro.DCX ,1,135.3,8.4, , ,8, , , ,
BMC.StdDev ,1,151.2,6.6,BMC.StdDev.N ,5.63,15, , , ,
Muscles.EDL.g ,1,151.9,5.3, , ,7, , , ,
Haem.RDW ,1,153.3,5.5, , ,28, , , ,
Haem.MCV ,1,155.7,5.6, , ,3, , , ,
FACS.CD45posCD3negDX5pos ,1,168.1,4.7, , ,1, , , ,
Bioch.Tot.Cholesterol ,1,171.4,9.2,Bioch.HDL ,8.36,26,Apoa2 ,Mutant mice show decrease HDL and total cholesterol levels (5) ,X ,
FACS.CD3posCD8pos ,1,173.9,5, , ,4, , , ,
Neuro.Ki67 ,1,177.6,6.8, , ,14, , , ,
FACS.CD45posCD3negDX5pos ,2,28.9,5.2, , ,19, , , ,
Micronucleus.Mn.NCE ,2,30,5.2, , ,20, , , ,
FACS.CD45posCD3negDX5pos ,2,44.4,4.7, , ,2,Zeb2 ,Essential for terminal NK cell maturation and homeostasis of Essential for terminal NK cell maturation and homeostasis of the NK cell pool (6) the NK cell pool (6) , ,
Cardio.ECG.PR_main ,2,91.5,5.6, , ,195, ,, ,
FACS.CD3posCD44posCD4CD8Ratio ,2,102.7,11.7,FACS.CD3posCD8posCD44p os ,8.77,2,Cd44 ,Protein directly involved in the phenotype (7) ,X ,
WH.Ears_Area ,2,134.1,5.5, , ,1,Bmp2 ,Promotes cartilage formation (8) , ,
Hypoxia.f_HVD ,2,152,5.8, , ,14, , , ,
EPM.ClosedArms.Entries ,2,153.7,5.8, , ,14, , , ,
Muscles.Sol.g ,2,155.4,7.1,"Muscles.TA.g, Muscles.EDL.g, Muscles.Plant.g ",4.53-6.39 ,33, , , ,
BMC.Width ,2,155.6,4.8, , ,33, , , ,
Haem.EOS_percent ,2,163.8,5.2, , ,14, , , ,
Muscles.Sol.g ,3,14.8,7.2, , ,9,Car3 ,Abundant in skeletal muscle. Mutants muscles have shorter relaxation half times (9) ,X ,
Muscles.Gast.g ,3,19.1,5.3, , ,4, , , ,
Haem.LYM_percent ,3,20,6.6, , ,9, , , ,
FACS.CD45posCD3negDX5pos ,3,116.2,5.1, , ,17, , , ,
FACS.CD45posCD3negCD19pos ,4,97.8,5, , ,9, , , ,
Bioch.CreatinineEnzymatic ,4,100.9,5.4, , ,12, , , ,
EPM.Total.Distance ,4,117.4,4.9, , ,23, , , ,
FACS.CD3posCD44posCD4CD8Ratio ,4,134.2,5.8, , ,17,Cd52 ,Regulates T cells by interacting with the inhibitory receptor Siglec-10 (10) , ,
Tibia.Length ,4,134.6,4.9, , ,55,Hspg2 ,Mutant mice long bones approximately half of the size of wild-types (11) ,X ,
Bioch.ALP ,4,137.7,133.7, , ,2,Alpl ,Protein directly involved in the phenotype (12) ,X ,
FACS.CD3posCD4CD8Ratio ,4,149.9,4.6, , ,13,Tnfrsf9 ,Influences T cell response (13) ,X ,
BMC.Mean ,5,24.4,8.3,"BMC.StdDev, BMC.StdDev.N, BMC.Max.N, BMC.Median, BMC.Kurt, BMC.Max, BMC.Kurt.N ",7.65-12.62,16,Slc4a2 ,Deletion in mice results in osteopetrosis (14) ,X ,
Tibia.Length ,5,40.7,4.8,BMC.Width ,4.49,3,Nkx3-2 ,Negative regulator of chondrocyte maturation (15). Null mice are affected by a perinatal lethal skeletal dysplasia (16) ,X ,
EPM.Total.Distance ,5,50.6,5.2,EPM.ClosedArms.Distance ,4.88,2,Adgra3 ,Specifically expressed in the choroid plexus and is upregulated following brain injury (17) , ,
